Time, Stove, Ready, Assistants, Remarks
1,empty ,adobo(cook=30) ,none ,adobo is added to ready state. Preheating stove. 
2,adobo(cook=30) ,none ,none ,Started Cooking adobo. 
3,adobo(cook=29) ,none ,none ,---
4,adobo(cook=28) ,none ,none ,---
5,adobo(cook=27) ,none ,tinola(prep=9) ,tinola is added to preparing. 
6,adobo(cook=26) ,none ,tinola(prep=8) ,---
7,adobo(cook=25) ,none ,tinola(prep=7) ,---
8,adobo(cook=24) ,karekare(cook=20) ,tinola(prep=6) ,karekare is added to ready state. 
9,adobo(cook=23) ,karekare(cook=20) ,tinola(prep=5) ,---
10,adobo(cook=22) ,karekare(cook=20) ,tinola(prep=4) ,---
11,adobo(cook=21) ,karekare(cook=20) ,tinola(prep=3) ,---
12,adobo(cook=20) ,karekare(cook=20) ,tinola(prep=2) ,---
13,adobo(cook=19) ,karekare(cook=20) ,tinola(prep=1) ,---
14,adobo(cook=18) ,tinola(cook=10) karekare(cook=20) ,none ,tinola is added to ready state. 
15,adobo(cook=17) ,tinola(cook=10) karekare(cook=20) ,none ,---
16,adobo(cook=16) ,tinola(cook=10) karekare(cook=20) ,none ,---
17,adobo(cook=15) ,tinola(cook=10) karekare(cook=20) ,none ,---
18,adobo(cook=14) ,tinola(cook=10) karekare(cook=20) ,none ,---
19,adobo(cook=13) ,tinola(cook=10) karekare(cook=20) ,none ,---
20,adobo(cook=12) ,tinola(cook=10) karekare(cook=20) ,none ,---
21,adobo(cook=11) ,tinola(cook=10) karekare(cook=20) ,none ,---
22,adobo(cook=10) ,tinola(cook=10) karekare(cook=20) ,none ,---
23,adobo(cook=9) ,tinola(cook=10) karekare(cook=20) ,none ,---
24,adobo(cook=8) ,tinola(cook=10) karekare(cook=20) ,none ,---
25,adobo(cook=7) ,tinola(cook=10) karekare(cook=20) ,none ,---
26,adobo(cook=6) ,tinola(cook=10) karekare(cook=20) ,none ,---
27,adobo(cook=5) ,tinola(cook=10) karekare(cook=20) ,none ,---
28,adobo(cook=4) ,tinola(cook=10) karekare(cook=20) ,none ,---
29,adobo(cook=3) ,tinola(cook=10) karekare(cook=20) ,none ,---
30,adobo(cook=2) ,tinola(cook=10) karekare(cook=20) ,none ,---
31,adobo(cook=1) ,tinola(cook=10) karekare(cook=20) ,none ,---
32,empty ,tinola(cook=10) karekare(cook=20) ,none ,adobo cooking ended. 
33,empty ,tinola(cook=10) karekare(cook=20) ,adobo(prep=10) ,Cleaning stove. adobo is added to cooking state. 
34,empty ,tinola(cook=10) karekare(cook=20) ,adobo(prep=9) ,Preheating stove. 
35,tinola(cook=10) ,karekare(cook=20) ,adobo(prep=8) ,Started Cooking tinola. 
36,tinola(cook=9) ,karekare(cook=20) ,adobo(prep=7) ,---
37,tinola(cook=8) ,karekare(cook=20) ,adobo(prep=6) ,---
38,tinola(cook=7) ,karekare(cook=20) ,adobo(prep=5) ,---
39,tinola(cook=6) ,karekare(cook=20) ,adobo(prep=4) ,---
40,tinola(cook=5) ,karekare(cook=20) ,adobo(prep=3) ,---
41,tinola(cook=4) ,karekare(cook=20) ,adobo(prep=2) ,---
